Wall time,Step,Value
1757764474.5070148,5989200000,78.5090103149414
1757764480.131228,5990400000,78.54115295410156
1757764659.8134832,6028800000,78.77010345458984
1757764794.741099,6057600000,77.78190612792969
1757764862.0297625,6072000000,78.25697326660156
1757764873.3063583,6074400000,78.23345184326172
1757764901.451387,6080400000,78.40733337402344
1757764974.6355236,6096000000,78.31929779052734
1757764980.2620053,6097200000,78.38746643066406
1757765025.2788181,6106800000,78.26683807373047
1757765036.5136433,6109200000,78.26988983154297
1757765064.7515337,6115200000,78.44345092773438
1757765272.8998375,6159600000,78.50958251953125
1757765295.3910282,6164400000,78.75103759765625
1757765317.9417267,6169200000,78.53125
1757765357.3046787,6177600000,78.53894805908203
1757765379.861137,6182400000,78.71095275878906
1757765385.526854,6183600000,78.61974334716797
1757765396.736885,6186000000,78.63279724121094
1757765402.353987,6187200000,78.58143615722656
1757765469.8450832,6201600000,78.49757385253906
1757765582.3831356,6225600000,78.23028564453125
